,depth,magnitude
0,23.62,2.58
1,21.08,3.9
2,10.0,4.8
3,10.0,4.7
4,10.0,5.0
5,10.0,4.8
6,21.21,5.1
7,12.59,3.66
8,20.0,5.4
9,10.0,4.4
10,10.0,5.1
11,3.33,2.83
12,40.6,2.8
13,13.81,6.2
14,10.0,4.3
15,5.12,2.85
16,5.2,2.71
17,10.0,3.8
18,14.82,4.3
19,10.0,3.8
20,8.42,6.1
21,36.58,4.1
22,15.11,4.9
23,38.32,4.8
24,26.7,5.2
25,40.01,5.0
26,13.33,5.7
27,22.31,4.7
28,33.05,4.9
29,49.0,4.7
30,35.9,4.8
31,50.46,4.9
32,60.3,5.0
33,33.0,3.32
34,23.64,6.0
35,9.11,2.6
36,37.0,2.6
37,3.94,2.7
38,35.0,4.6
39,5.0,2.6
40,35.0,5.1
41,32.38,4.6
42,113.69,4.7
43,92.0,2.92
44,119.0,2.64
45,10.81,5.0
46,35.0,4.8
47,35.0,4.7
48,35.0,5.6
49,27.32,4.8
50,35.0,5.2
51,35.0,5.0
52,118.0,3.53
53,21.44,4.8
54,35.0,5.0
55,2.92,2.54
56,83.0,3.76
57,53.0,3.56
58,35.0,4.1
59,0.0,2.7
60,35.0,4.6
61,6.05,2.6
62,27.93,4.6
63,35.0,4.6
64,35.0,5.0
65,163.03,4.4
66,35.0,5.0
67,35.0,5.0
68,84.0,2.47
69,35.0,4.5
70,16.63,5.2
71,78.0,2.8
72,35.0,5.0
73,35.0,3.08
74,35.0,4.9
75,190.19,4.6
76,35.0,5.2
77,10.0,4.5
78,50.0,2.85
79,10.0,4.2
80,35.0,5.3
81,34.31,4.6
82,35.0,4.9
83,35.0,5.0
84,100.0,2.75
85,10.0,5.0
86,35.0,5.4
87,38.97,5.5
88,35.0,7.5
89,42.74,4.4
90,75.2,2.8
91,10.0,4.6
92,30.77,5.6
93,11.0,2.94
94,10.71,4.5
95,6.3,3.04
96,589.36,4.6
97,221.47,4.6
98,9.03,2.46
99,29.18,4.3
100,53.62,4.7
101,69.0,3.34
102,131.9,4.0
103,54.02,4.4
104,20.46,3.7
105,5.0,2.7
106,5.0,3.6
107,35.0,2.8
108,10.0,4.3
109,1.88,2.72
110,12.86,4.8
111,21.56,3.7
112,253.99,4.6
113,67.0,3.18
114,137.68,4.4
115,47.35,4.3
116,51.0,3.73
117,69.0,2.52
