,depth,magnitude
118,36.39,4.2
119,8.0,2.73
120,10.0,4.7
121,12.41,2.9
122,6.1,3.51
123,128.0,3.1
124,41.3,2.6
125,21.37,4.8
126,83.5,3.0
127,10.0,4.0
128,96.37,4.3
129,7.6,2.8
130,22.6,4.0
131,3.32,2.55
132,0.0,3.3
133,9.0,2.68
134,3.39,3.1
135,17.57,3.8
136,10.0,5.2
137,10.59,5.0
138,-1.53,2.53
139,28.76,5.0
140,10.0,4.3
141,10.0,4.7
142,133.39,4.1
143,34.61,4.6
144,2.08,2.77
145,613.84,4.8
146,16.31,4.4
147,58.21,4.9
148,10.03,4.4
149,10.0,4.1
150,80.7,2.8
151,34.4,3.2
152,12.0,2.45
153,10.0,4.8
154,6.79,2.8
155,6.16,3.51
156,5.98,3.39
157,7.08,3.0
158,78.0,3.23
159,22.81,4.9
160,77.0,3.41
161,6.93,3.31
162,15.65,3.4
163,116.0,2.78
164,39.03,4.5
165,6.58,2.84
166,17.15,4.5
167,6.14,2.71
168,48.52,4.5
169,3.98,2.46
170,30.1,4.3
171,17.44,2.51
172,115.3,3.3
173,190.76,4.6
174,14.3,3.2
175,11.22,2.72
176,10.0,4.8
177,9.48,2.73
178,120.3,3.5
179,27.5,5.0
180,12.41,2.52
181,17.01,3.6
182,7.29,3.9
183,10.0,3.8
184,2.7,3.8
185,9.3,2.62
186,4.8,4.2
187,3.8,4.4
188,10.22,2.65
189,47.0,3.13
190,1.43,2.67
191,10.0,4.4
192,178.02,4.2
193,27.7,3.1
194,16.93,4.4
195,12.4,2.6
196,10.0,4.7
197,10.37,3.16
198,3.65,2.9
199,2.65,2.8
200,16.14,2.49
201,50.0,3.18
202,0.57,3.01
203,10.08,2.61
204,11.9,2.5
205,17.12,4.4
206,1.92,2.69
207,38.0,3.2
208,10.0,5.3
209,82.7,2.7
210,10.0,5.4
211,10.0,4.1
212,10.0,5.0
213,0.0,3.4
214,10.0,4.2
215,30.0,3.24
216,4.9,2.8
217,16.66,5.0
218,8.28,4.3
219,5.0,3.3
220,10.0,5.0
221,4.96,2.7
222,10.0,4.8
223,-2.1,2.85
224,164.8,4.3
225,10.0,2.9
226,1.4,2.6
227,8.0,3.17
228,52.34,4.7
229,44.0,3.42
230,162.17,4.5
231,36.21,4.7
232,10.0,4.6
233,0.1,3.0
234,2.49,2.5
235,10.0,4.4
236,10.0,5.2
237,14.54,2.93
238,252.43,4.3
239,9.5,2.5
240,15.0,3.18
241,204.53,4.2
242,40.5,3.2
243,134.72,4.7
244,140.26,4.8
245,29.76,3.17
246,10.2,2.7
247,123.0,3.4
248,3.3,2.9
249,6.86,2.75
250,35.0,4.5
251,21.69,2.8
252,110.49,4.7
253,9.08,2.68
254,51.94,4.5
255,1.18,3.2
256,65.9,4.9
257,83.32,4.4
258,30.02,4.3
259,98.0,2.53
260,56.0,3.14
261,14.0,3.2
262,8.46,2.54
263,20.72,3.2
264,20.5,3.6
265,10.0,5.0
266,10.0,4.2
267,28.7,2.7
268,103.51,5.2
269,10.0,4.7
270,1.6,2.7
271,6.02,2.82
272,5.57,2.63
273,5.62,2.53
274,18.44,4.3
275,13.7,2.72
276,10.68,3.56
277,49.0,3.07
278,40.84,5.0
279,7.12,2.83
280,210.31,4.9
281,0.0,3.7
282,0.0,2.9
283,5.819,2.6
284,95.97,5.0
285,20.94,2.7
286,5.44,2.84
287,9.8,2.9
288,177.6,4.6
289,11.0,3.0
290,51.42,4.8
291,51.4,2.6
292,11.1,2.6
293,10.0,4.8
294,10.0,4.7
295,19.93,4.2
296,80.4,3.0
297,10.0,4.0
298,12.43,4.3
299,174.88,4.3
300,89.0,3.59
301,19.49,4.2
302,10.0,4.7
303,3.95,2.55
304,10.0,5.3
305,81.5,2.8
306,41.26,4.8
307,0.8,2.8
308,5.97,2.81
