BuildingNu,DeedBook,Page,Date
93,114,245,09-14-1898
571,,,
653,,,
433,,,
164,,,
125,,,
179,,,
254,,,
432,,,
96,,,
183,,,
59,,,
54,,,
677,,,
9127,,,
119,,,
347,,,
5,,,
9813,,,
110,,,
19,,,
79,,,
503,,,
298,,,
669,,,
44,,,
565,,,
706,,,
223,,,
20,,,
75,,,
249,,,
159,,,
670,,,
255,,,
216,,,
302,,,
698,,,
199,,,
344,,,
144,,,
505,,,
61,,,
416,,,
143,,,
261,,,
106,,,
695,,,
279,,,
1200,,,
417,,,
241,,,
630,,,
212,,,
245,,,
382,,,
494,,,
264,,,
278,,,
205,,,
633,,,
673,,,
202,,,
678,,,
15,,,
123,,,
74,,,
25,,,
514,,,
348,,,
611,,,
453,,,
495,,,
3,,,
120,,,
108,,,
248,,,
98,,,
349,,,
189,,,
107,,,
163,,,
146,,,
626,,,
284,,,
173,,,
167,,,
274,,,
162,,,
664,,,
662,,,
66,,,
393,,,
247,,,
17,,,
252,,,
219,237,546,6/13/1926
151,,,
305,,,
655,,,
702,,,
141,,,
1201,,,
657,,,
244,,,
484,,,
152,,,
263,,,
229,,,
283,,,
294,,,
216,,,
207,,,
9854,,,
400,,,
49,,,
90,,,
35,,,
315,,,
283,,,
74,,,
73,,,
188,,,
601,,,
193,,,
517,,,
185,,,
38,,,
604,,,
336,,,
672,,,
481,,,
386,,,
55,2807,58,5/27/2008
160,,,
124,,,
253,,,
394,,,
663,,,
398,,,
413,,,
99,,,
568,,,
652,,,
48,,,
9853,,,
121,,,
43,,,
585,,,
198,,,
215,,,
582,,,
220,,,
448,,,
105,,,
447,,,
85,,,
514,,,
377,,,
174,151,308,5/1/1907
9925,,,
612,,,
94,,,
150,,,
277,,,
9,,,
288,,,
257,,,
266,,,
690,,,
40,,,
28,,,
303,,,
566,,,
314,,,
56,,,
258,,,
158,,,
127,,,
668,,,
149,,,
155,,,
145,,,
419,,,
509,,,
190,,,
153,,,
350,,,
232,,,
236,,,
9983,,,
102,,,
592,,,
312,,,
109,,,
89,,,
139,263,511,5/27/1930
92,,,
456,,,
708,,,
658,,,
285,,,
117,,,
21,,,
100,,,
74,,,
297,,,
281,,,
8633,,,
69,,,
462,,,
91,,,
300,,,
213,,,
51,,,
200,,,
2,,,
57,,,
420,,,
53,,,
176,,,
194,,,
156,,,
489,,,
210,,,
661,,,
518,,,
154,,,
52,,,
399,,,
204,,,
78,,,
260,,,
269,,,
427,,,
77,,,
656,,,
651,,,
224,,,
250,,,
4,,,
283,,,
84,,,
293,,,
181,,,
23,,,
345,,,
42,,,
197,,,
301,,,
113,,,
616,,,
68,,,
275,,,
65,,,
337,,,
45,,,
46,,,
27,,,
24,,,
442,,,
184,,,
217,,,
175,,,
674,,,
392,,,
126,,,
353,,,
192,,,
564,,,
667,,,
64,,,
36,,,
280,,,
33,,,
178,,,
86,,,
204,,,
87,,,
235,,,
58,,,
22,,,
262,,,
34,,,
446,,,
243,,,
618,,,
286,,,
660,,,
333,,,
95,,,
490,,,
9777,,,
82,,,
463,,,
613,,,
703,,,
644,,,
276,,,
128,,,
391,,,
177,,,
227,,,
267,,,
67,,,
567,,,
214,,,
507,,,
268,,,
31,,,
346,,,
47,,,
225,,,
16,,,
157,,,
666,,,
654,,,
182,,,
101,,,
161,,,
665,,,
256,,,
467,,,
61,,,
381,,,
147,,,
572,,,
12,,,
351,,,
465,,,
602,79,108,10/25/1937
282,,,
659,,,
705,,,
487,,,
449,,,
289,,,
39,,,
88,,,
343,,,
104,,,
80,,,
41,,,
148,,,
76,,,
186,,,
74,,,
378,,,
596,,,
246,,,
485,,,
265,,,
211,,,
32,,,
129,,,
50,,,
191,,,
230,,,
675,,,
397,,,
122,,,
259,,,
166,,,
504,,,
97,,,
699,,,
671,,,
196,,,
